Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\DemoProject1\Project Outputs for ClassD_Amp\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       25/04/26
Time:       20:58
Revision:   5413d6a88a6c6db23f906ca56e1b8f9984c3eb21
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"D2","1.5KE18AG","TopLayer","FUSE_1.5KE_LTF","3610.000","4045.512","270","Diode TVS Single Uni-Dir 15.3V 1.5KW 2-Pin Case 41A-04 Box"
"U5","BM83SM1-00AA","TopLayer","XCVR_BM83SM1-00AA","2394.567","2746.496","180","Bluetooth Bluetooth v5.0 Transceiver Module 2.4GHz ~ 2.48GHz PCB Trace Surface Mount"
"U4","LM7805MPX/NOPB","TopLayer","FP-LM7805MPX-NOPB-MFG","2400.000","3445.827","90","IC REG LINEAR 5V 1.5A SOT223-4"
"U3","MCP111T-270E/TT","TopLayer","SOT-23-TT3_N","1887.441","3002.559","0","Microchip MCP111T-270E/TT, Voltage Supervisor 2.564 to 2.696 V, 3-PIN SOT-23B"
"U2","LM1117-3.3","TopLayer","SOT230","2935.000","3675.000","0","Regulador de tensÃ£o linear IC 1 Output 800mA SOT-223-4"
"U1","TPA3116D2DAD","TopLayer","SOP65P810X115-32N","4540.000","3065.000","0","50-W stereo, 100-W mono, 4.5- to 26-V supply, analog input Class-D audio amplifier w/ SpeakerGuardâ„¢"
"SW2","EVQ-PBG04M","TopLayer","FP-EVQ-PBG04M-MFG","3566.417","2280.000","0","SWITCH TACTILE SPST-NO 0.02A 15V"
"SW1","EVQ-PBG04M","TopLayer","FP-EVQ-PBG04M-MFG","3571.417","1895.000","0","SWITCH TACTILE SPST-NO 0.02A 15V"
"R15","0R2J","TopLayer","RESC0402(1005)_L","3255.000","3145.000","90","Jumper 0402 (1005 Metric)"
"R14","MFR-25FBF52-10K","TopLayer","RESA60-630X240","1940.000","3265.000","180","Axial Resistor, 10 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R13","RN73R2ATTD4701B25","TopLayer","FP-RN73R2A-IPC_C","2000.000","2615.000","0","4.7kO ±0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thin Film"
"R12","560050363012","TopLayer","WRIS-KSKE_2512","4440.000","1955.000","0","Res, 3R3, 1%, 1W, Thick Film, 2512 Rohs Compliant: Yes"
"R11","560050363012","TopLayer","WRIS-KSKE_2512","4820.000","1950.000","0","Res, 3R3, 1%, 1W, Thick Film, 2512 Rohs Compliant: Yes"
"R10","MFR-25FBF52-10K","TopLayer","RESA60-630X240","4225.000","2625.000","270","Axial Resistor, 10 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R9","PTF56250K00FZEB","TopLayer","FP-PTF56-MFG","3895.433","3105.000","0","PTF56250K00FZEB Res Metal Film 250kOhm 1% ± 5ppm/°C 1/8W Axial Leaded T/R"
"R8","PR02000201003JA100","TopLayer","FP-PR02000201003JA100-MFG","3810.000","3400.000","0","PR02000201003JA100 Fixed Resistor, Metal Film, 2W, 100000ohm, 500V, 5% +/-Tol, 250ppm/Cel, Through Hole Mount"
"R7","PR02000201003JA100","TopLayer","FP-PR02000201003JA100-MFG","3805.000","2695.000","180","PR02000201003JA100 Fixed Resistor, Metal Film, 2W, 100000ohm, 500V, 5% +/-Tol, 250ppm/Cel, Through Hole Mount"
"R6","6-1625890-6","TopLayer","RES_6-1625890-6_TEC","3744.331","2915.000","0","5.6k"
"R5","MRS16000C2002FCT00","TopLayer","FP-MRS1600-MFG","4010.000","3210.000","180","RES 20K OHM 0.4W 1% AXIAL"
"R4","MFR-25FBF52-1K","TopLayer","RESA60-630X240","2955.000","2615.000","0","Axial Resistor, 1 KOhm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R3","MFR-25FBF52-1K","TopLayer","RESA60-630X240","2955.000","2495.000","0","Axial Resistor, 1 KOhm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R2","MFR-25FBF52-1K","TopLayer","RESA60-630X240","2950.000","2905.000","0","Axial Resistor, 1 KOhm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"R1","MFR-25FBF52-1K","TopLayer","RESA60-630X240","2955.000","2735.000","0","Axial Resistor, 1 KOhm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk"
"P2","691311400002","TopLayer","691311400002","4430.000","1600.000","90","7.62MM Pitch Straight Pluggable Term Block, Pcb Header, Through Hole, 2 Way"
"P1","691311400002","TopLayer","691311400002","4837.713","1600.000","90","7.62MM Pitch Straight Pluggable Term Block, Pcb Header, Through Hole, 2 Way"
"L4","SRR1260-100M","TopLayer","INDP125125X600N","5555.000","2320.000","0","10ÂµH Shielded Wirewound Inductor 5.5A 20mOhm Max Nonstandard"
"L3","SRR1260-100M","TopLayer","INDP125125X600N","5550.000","2860.000","0","10ÂµH Shielded Wirewound Inductor 5.5A 20mOhm Max Nonstandard"
"L2","SRR1260-100M","TopLayer","INDP125125X600N","5545.000","3490.000","0","10ÂµH Shielded Wirewound Inductor 5.5A 20mOhm Max Nonstandard"
"L1","SRR1260-100M","TopLayer","INDP125125X600N","5535.000","4130.000","0","10ÂµH Shielded Wirewound Inductor 5.5A 20mOhm Max Nonstandard"
"J1","694103303002","TopLayer","694103303002","3079.882","4151.457","180","DC Power Jack Connector WR-DC, Male, Right Angled, THT, 2 A, 30 V"
"F1","MF-R500","TopLayer","FUSE_MF-R500_BRN","3383.000","4136.000","90","PTC Resettable Fuse 5A(hold) 10A(trip) 30V 40A 3W 14.5s 0.01Ohm Radial 17.4 X 3 X 24.9mm Bulk Automotive"
"D1","MBR760","TopLayer","FP-340BA-MFG","3965.000","4357.539","270","MBR760 Diode Schottky 60V 7.5A 2-Pin(2+Tab) TO-220AC Rail"
"C36","JWK105BJ104MP-F","TopLayer","FP-0204-L_0_52_0_05-W_1_0-IPC_C","2525.000","3250.000","90",".1 microfarad"
"C35","JWK105BJ104MP-F","TopLayer","FP-0204-L_0_52_0_05-W_1_0-IPC_C","2624.276","3675.000","0",".1 microfarad"
"C34","ECA1HHG100I","TopLayer","FP-RAD-TH-D_5_0_5-L_11_1-MFG","2670.000","3855.000","0","Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 10uF ±20% 50V"
"C33","JWK105BJ104MP-F","TopLayer","FP-0204-L_0_52_0_05-W_1_0-IPC_C","1993.165","3002.559","0",".1 microfarad"
"C32","JWK105BJ104MP-F","TopLayer","FP-0204-L_0_52_0_05-W_1_0-IPC_C","3125.000","3550.000","0",".1 microfarad"
"C31","ECA1HHG100I","TopLayer","FP-RAD-TH-D_5_0_5-L_11_1-MFG","3005.000","3395.000","0","Aluminum Electrolytic Capacitors (Radial Lead Type) AEC-Q200 Qualified 10uF ±20% 50V"
"C30","JWK105BJ104MP-F","TopLayer","FP-0204-L_0_52_0_05-W_1_0-IPC_C","2295.000","3243.552","90",".1 microfarad"
"C29","Capacitor 10nF +/-20% 50V 0402","TopLayer","CAPC0402(1005)60_L","4550.000","2115.000","90","Chip Capacitor, 10nF +/-20%, 50V, 0402, Thickness 0.6 mm"
"C28","CAP 680nF 16V 0805(2012)","TopLayer","CAPC0805(2012)145_M","4420.630","2125.000","0","CAP 680nF 16V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
"C27","Capacitor 10nF +/-20% 50V 0402","TopLayer","CAPC0402(1005)60_L","4669.055","2112.284","90","Chip Capacitor, 10nF +/-20%, 50V, 0402, Thickness 0.6 mm"
"C26","CAP 680nF 16V 0805(2012)","TopLayer","CAPC0805(2012)145_M","4794.685","2120.000","0","CAP 680nF 16V ±10% 0805 (2012 Metric) Thickness 1.45mm SMD"
